Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 13:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 16:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 16:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,6.356041E+04,0.000000E+00,3.279455E+00,0.000000E+00,5.080941E+03,9.121962E+02,2.622020E-01,7.037929E-02,1.148319E+04,6.530590E+03,5.924774E-01,5.039826E-01,1.149127E+04,1.914637E+03,5.928940E-01,1.477344E-01,3.227745E+04,1.139860E+04,1.665582E+00,8.795525E-01,6.081091E+03,8.819496E+03,3.138075E-01,6.807020E-01,7.488469E+03,7.117463E+02,3.863922E-01,5.491437E-02,5.414890E+04,5.649388E+03,2.794158E+00,4.359099E-01,3.649542E+03,0.000000E+00,1.883587E-01,0.000000E+00,6.297567E+04,3.462836E+04,3.249270E+00,2.672210E+00,4.939250E+03,3.836499E+02,2.548901E-01,2.959913E-02,4.903482E+03,6.021723E+02,2.530443E-01,4.645873E-02,8.640613E+03,4.480497E+03,4.458716E-01,3.457303E-01,8.643438E+03,0.000000E+00,4.460173E-01,0.000000E+00,2.168108E+04,3.301558E+03,1.118956E+00,2.547260E-01,3.684178E+03,6.604663E+03,1.901463E-01,5.096794E-01
00:20:00,6.356044E+04,0.000000E+00,3.279456E+00,0.000000E+00,5.080949E+03,9.034499E+02,2.622024E-01,6.970475E-02,1.148321E+04,6.483513E+03,5.924782E-01,5.003504E-01,1.149128E+04,1.868723E+03,5.928948E-01,1.441925E-01,3.227750E+04,1.130482E+04,1.665585E+00,8.723157E-01,6.081105E+03,8.793940E+03,3.138082E-01,6.787140E-01,7.488481E+03,6.896912E+02,3.863928E-01,5.321289E-02,5.414893E+04,5.292307E+03,2.794160E+00,4.083533E-01,3.649547E+03,0.000000E+00,1.883589E-01,0.000000E+00,6.297570E+04,3.434952E+04,3.249271E+00,2.650707E+00,4.939255E+03,3.632089E+02,2.548904E-01,2.802179E-02,4.903486E+03,6.031209E+02,2.530445E-01,4.653198E-02,8.640618E+03,4.443662E+03,4.458718E-01,3.428877E-01,8.643443E+03,0.000000E+00,4.460176E-01,0.000000E+00,2.168110E+04,3.265985E+03,1.118957E+00,2.519813E-01,3.684184E+03,6.593842E+03,1.901466E-01,5.088296E-01
00:30:00,6.356047E+04,0.000000E+00,3.279458E+00,0.000000E+00,5.080956E+03,8.939115E+02,2.622028E-01,6.896903E-02,1.148322E+04,6.435014E+03,5.924789E-01,4.966079E-01,1.149130E+04,1.821059E+03,5.928955E-01,1.405153E-01,3.227756E+04,1.120653E+04,1.665588E+00,8.647304E-01,6.081119E+03,8.768497E+03,3.138089E-01,6.767347E-01,7.488493E+03,6.666099E+02,3.863934E-01,5.143216E-02,5.414897E+04,4.940646E+03,2.794161E+00,3.812154E-01,3.649551E+03,0.000000E+00,1.883591E-01,0.000000E+00,6.297572E+04,3.406370E+04,3.249272E+00,2.628659E+00,4.939259E+03,3.665326E+02,2.548906E-01,2.827822E-02,4.903490E+03,5.965704E+02,2.530447E-01,4.602672E-02,8.640623E+03,4.405852E+03,4.458721E-01,3.399697E-01,8.643448E+03,0.000000E+00,4.460178E-01,0.000000E+00,2.168112E+04,3.222986E+03,1.118958E+00,2.486635E-01,3.684189E+03,6.581803E+03,1.901469E-01,5.078871E-01
00:40:00,6.356049E+04,0.000000E+00,3.279459E+00,0.000000E+00,5.080963E+03,8.837040E+02,2.622031E-01,6.818166E-02,1.148323E+04,6.385418E+03,5.924796E-01,4.927801E-01,1.149131E+04,1.772045E+03,5.928962E-01,1.367336E-01,3.227761E+04,1.110464E+04,1.665591E+00,8.568668E-01,6.081132E+03,8.743318E+03,3.138096E-01,6.747755E-01,7.488503E+03,6.428230E+02,3.863940E-01,4.959695E-02,5.414899E+04,4.596422E+03,2.794163E+00,3.546519E-01,3.649554E+03,0.000000E+00,1.883593E-01,0.000000E+00,6.297574E+04,3.377329E+04,3.249273E+00,2.606253E+00,4.939264E+03,3.598691E+02,2.548909E-01,2.776418E-02,4.903493E+03,5.887581E+02,2.530449E-01,4.542407E-02,8.640628E+03,4.367262E+03,4.458723E-01,3.369914E-01,8.643453E+03,0.000000E+00,4.460181E-01,0.000000E+00,2.168114E+04,3.174269E+03,1.118959E+00,2.449045E-01,3.684194E+03,6.568894E+03,1.901471E-01,5.068782E-01
00:50:00,6.356052E+04,0.000000E+00,3.279460E+00,0.000000E+00,5.080969E+03,8.729170E+02,2.622035E-01,6.734955E-02,1.148325E+04,6.335015E+03,5.924803E-01,4.888898E-01,1.149132E+04,1.722045E+03,5.928969E-01,1.328756E-01,3.227766E+04,1.100004E+04,1.665593E+00,8.487943E-01,6.081144E+03,8.718496E+03,3.138102E-01,6.728430E-01,7.488514E+03,6.185237E+02,3.863945E-01,4.772215E-02,5.414902E+04,4.260756E+03,2.794164E+00,3.287493E-01,3.649558E+03,0.000000E+00,1.883595E-01,0.000000E+00,6.297577E+04,3.348029E+04,3.249274E+00,2.583645E+00,4.939268E+03,3.516275E+02,2.548911E-01,2.712835E-02,4.903497E+03,5.798394E+02,2.530451E-01,4.473604E-02,8.640632E+03,4.328073E+03,4.458726E-01,3.339669E-01,8.643457E+03,0.000000E+00,4.460183E-01,0.000000E+00,2.168116E+04,3.120883E+03,1.118960E+00,2.407852E-01,3.684199E+03,6.555333E+03,1.901474E-01,5.058192E-01
01:00:00,6.356054E+04,0.000000E+00,3.279462E+00,0.000000E+00,5.080976E+03,8.617203E+02,2.622038E-01,6.648579E-02,1.148326E+04,6.284050E+03,5.924810E-01,4.849558E-01,1.149133E+04,1.671351E+03,5.928975E-01,1.289640E-01,3.227771E+04,1.089350E+04,1.665596E+00,8.405721E-01,6.081156E+03,8.694104E+03,3.138109E-01,6.709432E-01,7.488524E+03,5.938758E+02,3.863950E-01,4.582043E-02,5.414905E+04,3.934412E+03,2.794165E+00,3.035665E-01,3.649561E+03,0.000000E+00,1.883596E-01,0.000000E+00,6.297579E+04,3.318619E+04,3.249276E+00,2.560950E+00,4.939272E+03,3.420826E+02,2.548913E-01,2.639197E-02,4.903500E+03,5.700261E+02,2.530453E-01,4.397896E-02,8.640637E+03,4.288445E+03,4.458728E-01,3.309084E-01,8.643461E+03,0.000000E+00,4.460185E-01,0.000000E+00,2.168118E+04,3.063770E+03,1.118961E+00,2.363784E-01,3.684203E+03,6.541311E+03,1.901476E-01,5.047244E-01
01:10:00,6.356057E+04,0.000000E+00,3.279463E+00,0.000000E+00,5.080982E+03,8.510366E+02,2.622041E-01,6.566158E-02,1.148327E+04,6.238868E+03,5.924816E-01,4.814680E-01,1.149135E+04,1.620817E+03,5.928982E-01,1.250646E-01,3.227776E+04,1.078745E+04,1.665598E+00,8.323870E-01,6.081168E+03,8.677641E+03,3.138115E-01,6.696549E-01,7.488534E+03,5.700051E+02,3.863956E-01,4.397865E-02,5.414907E+04,3.628191E+03,2.794167E+00,2.799367E-01,3.649563E+03,0.000000E+00,1.883598E-01,0.000000E+00,6.297581E+04,3.290001E+04,3.249277E+00,2.538864E+00,4.939276E+03,3.323434E+02,2.548915E-01,2.564059E-02,4.903504E+03,5.602945E+02,2.530454E-01,4.322818E-02,8.640641E+03,4.254661E+03,4.458730E-01,3.283008E-01,8.643466E+03,0.000000E+00,4.460188E-01,0.000000E+00,2.168120E+04,3.005268E+03,1.118962E+00,2.318644E-01,3.684208E+03,6.535617E+03,1.901478E-01,5.042723E-01
01:20:00,6.356059E+04,0.000000E+00,3.279464E+00,0.000000E+00,5.080989E+03,8.403664E+02,2.622045E-01,6.483839E-02,1.148329E+04,6.194248E+03,5.924822E-01,4.780238E-01,1.149136E+04,1.570662E+03,5.928988E-01,1.211944E-01,3.227781E+04,1.068202E+04,1.665601E+00,8.242498E-01,6.081180E+03,8.661656E+03,3.138121E-01,6.684032E-01,7.488544E+03,5.464951E+02,3.863960E-01,4.216468E-02,5.414910E+04,3.334065E+03,2.794168E+00,2.572407E-01,3.649566E+03,0.000000E+00,1.883599E-01,0.000000E+00,6.297582E+04,3.261902E+04,3.249278E+00,2.517179E+00,4.939280E+03,3.220678E+02,2.548917E-01,2.484782E-02,4.903507E+03,5.502412E+02,2.530456E-01,4.245256E-02,8.640645E+03,4.221372E+03,4.458732E-01,3.257315E-01,8.643470E+03,0.000000E+00,4.460190E-01,0.000000E+00,2.168121E+04,2.945288E+03,1.118962E+00,2.272364E-01,3.684212E+03,6.530161E+03,1.901480E-01,5.038385E-01
01:30:00,6.356061E+04,0.000000E+00,3.279465E+00,0.000000E+00,5.080995E+03,8.297797E+02,2.622048E-01,6.402163E-02,1.148330E+04,6.150308E+03,5.924829E-01,4.746322E-01,1.149137E+04,1.521070E+03,5.928994E-01,1.173676E-01,3.227786E+04,1.057761E+04,1.665603E+00,8.161920E-01,6.081191E+03,8.645842E+03,3.138126E-01,6.671684E-01,7.488553E+03,5.234664E+02,3.863965E-01,4.038785E-02,5.414912E+04,3.049489E+03,2.794169E+00,2.352820E-01,3.649569E+03,0.000000E+00,1.883601E-01,0.000000E+00,6.297584E+04,3.234404E+04,3.249278E+00,2.495958E+00,4.939284E+03,3.114202E+02,2.548919E-01,2.402635E-02,4.903510E+03,5.399855E+02,2.530458E-01,4.166133E-02,8.640649E+03,4.188585E+03,4.458734E-01,3.232010E-01,8.643474E+03,0.000000E+00,4.460192E-01,0.000000E+00,2.168123E+04,2.884131E+03,1.118963E+00,2.225176E-01,3.684216E+03,6.524293E+03,1.901482E-01,5.033750E-01
01:40:00,6.356063E+04,0.000000E+00,3.279466E+00,0.000000E+00,5.081001E+03,8.193343E+02,2.622051E-01,6.321575E-02,1.148331E+04,6.107168E+03,5.924835E-01,4.713026E-01,1.149138E+04,1.472197E+03,5.929000E-01,1.135962E-01,3.227790E+04,1.047468E+04,1.665605E+00,8.082483E-01,6.081201E+03,8.630251E+03,3.138132E-01,6.659563E-01,7.488562E+03,5.010189E+02,3.863970E-01,3.865585E-02,5.414914E+04,2.774035E+03,2.794170E+00,2.140277E-01,3.649571E+03,0.000000E+00,1.883602E-01,0.000000E+00,6.297586E+04,3.207574E+04,3.249279E+00,2.475252E+00,4.939288E+03,3.005343E+02,2.548921E-01,2.318648E-02,4.903514E+03,5.296282E+02,2.530460E-01,4.086224E-02,8.640653E+03,4.156373E+03,4.458736E-01,3.207151E-01,8.643478E+03,0.000000E+00,4.460194E-01,0.000000E+00,2.168125E+04,2.822220E+03,1.118964E+00,2.177405E-01,3.684220E+03,6.517992E+03,1.901484E-01,5.028813E-01
01:50:00,6.356065E+04,0.000000E+00,3.279467E+00,0.000000E+00,5.081007E+03,8.090670E+02,2.622054E-01,6.242360E-02,1.148332E+04,6.064944E+03,5.924840E-01,4.680439E-01,1.149139E+04,1.424174E+03,5.929006E-01,1.098905E-01,3.227794E+04,1.037363E+04,1.665608E+00,8.004502E-01,6.081212E+03,8.615010E+03,3.138137E-01,6.647756E-01,7.488570E+03,4.792428E+02,3.863974E-01,3.697566E-02,5.414916E+04,2.507394E+03,2.794171E+00,1.934538E-01,3.649573E+03,0.000000E+00,1.883603E-01,0.000000E+00,6.297588E+04,3.181470E+04,3.249280E+00,2.455107E+00,4.939291E+03,2.895244E+02,2.548923E-01,2.233705E-02,4.903517E+03,5.192566E+02,2.530461E-01,4.006204E-02,8.640657E+03,4.124820E+03,4.458738E-01,3.182801E-01,8.643482E+03,0.000000E+00,4.460196E-01,0.000000E+00,2.168126E+04,2.759940E+03,1.118965E+00,2.129352E-01,3.684223E+03,6.511338E+03,1.901486E-01,5.023632E-01
02:00:00,6.356066E+04,0.000000E+00,3.279468E+00,0.000000E+00,5.081012E+03,7.990017E+02,2.622057E-01,6.164702E-02,1.148333E+04,6.023739E+03,5.924846E-01,4.648640E-01,1.149141E+04,1.377117E+03,5.929012E-01,1.062592E-01,3.227799E+04,1.027484E+04,1.665610E+00,7.928262E-01,6.081222E+03,8.600238E+03,3.138142E-01,6.636338E-01,7.488579E+03,4.582213E+02,3.863979E-01,3.535368E-02,5.414918E+04,2.249462E+03,2.794172E+00,1.735522E-01,3.649575E+03,0.000000E+00,1.883604E-01,0.000000E+00,6.297589E+04,3.156142E+04,3.249281E+00,2.435560E+00,4.939295E+03,2.784868E+02,2.548925E-01,2.148547E-02,4.903520E+03,5.089455E+02,2.530463E-01,3.926652E-02,8.640661E+03,4.094001E+03,4.458740E-01,3.159018E-01,8.643486E+03,0.000000E+00,4.460198E-01,0.000000E+00,2.168128E+04,2.697639E+03,1.118966E+00,2.081282E-01,3.684227E+03,6.504426E+03,1.901488E-01,5.018271E-01
02:10:00,6.356068E+04,0.000000E+00,3.279469E+00,0.000000E+00,5.081018E+03,7.889250E+02,2.622060E-01,6.086957E-02,1.148334E+04,5.983042E+03,5.924852E-01,4.617234E-01,1.149142E+04,1.330523E+03,5.929017E-01,1.026638E-01,3.227803E+04,1.017715E+04,1.665612E+00,7.852882E-01,6.081232E+03,8.585739E+03,3.138147E-01,6.625142E-01,7.488587E+03,4.376031E+02,3.863983E-01,3.376283E-02,5.414920E+04,1.997423E+03,2.794173E+00,1.541058E-01,3.649577E+03,0.000000E+00,1.883605E-01,0.000000E+00,6.297591E+04,3.131248E+04,3.249282E+00,2.416348E+00,4.939298E+03,2.672404E+02,2.548926E-01,2.061779E-02,4.903523E+03,4.984972E+02,2.530464E-01,3.846039E-02,8.640665E+03,4.063534E+03,4.458742E-01,3.135507E-01,8.643489E+03,0.000000E+00,4.460200E-01,0.000000E+00,2.168129E+04,2.634775E+03,1.118966E+00,2.032779E-01,3.684230E+03,6.497212E+03,1.901490E-01,5.012688E-01
02:20:00,6.356070E+04,0.000000E+00,3.279470E+00,0.000000E+00,5.081023E+03,7.788698E+02,2.622062E-01,6.009377E-02,1.148335E+04,5.942910E+03,5.924857E-01,4.586264E-01,1.149143E+04,1.284462E+03,5.929023E-01,9.910942E-02,3.227807E+04,1.008084E+04,1.665614E+00,7.778560E-01,6.081241E+03,8.571587E+03,3.138152E-01,6.614221E-01,7.488595E+03,4.175159E+02,3.863987E-01,3.221295E-02,5.414922E+04,1.751155E+03,2.794174E+00,1.351048E-01,3.649579E+03,0.000000E+00,1.883606E-01,0.000000E+00,6.297592E+04,3.106812E+04,3.249283E+00,2.397490E+00,4.939302E+03,2.558476E+02,2.548928E-01,1.973881E-02,4.903526E+03,4.879598E+02,2.530466E-01,3.764740E-02,8.640668E+03,4.033448E+03,4.458744E-01,3.112291E-01,8.643493E+03,0.000000E+00,4.460202E-01,0.000000E+00,2.168130E+04,2.571530E+03,1.118967E+00,1.983981E-01,3.684233E+03,6.489749E+03,1.901491E-01,5.006920E-01
02:30:00,6.356071E+04,0.000000E+00,3.279470E+00,0.000000E+00,5.081029E+03,7.688686E+02,2.622065E-01,5.932213E-02,1.148336E+04,5.903402E+03,5.924862E-01,4.555775E-01,1.149144E+04,1.238996E+03,5.929028E-01,9.560099E-02,3.227811E+04,9.986147E+03,1.665616E+00,7.705493E-01,6.081250E+03,8.557841E+03,3.138157E-01,6.603615E-01,7.488602E+03,3.975988E+02,3.863991E-01,3.067620E-02,5.414924E+04,1.510623E+03,2.794175E+00,1.165466E-01,3.649581E+03,0.000000E+00,1.883607E-01,0.000000E+00,6.297594E+04,3.082857E+04,3.249283E+00,2.379003E+00,4.939305E+03,2.443630E+02,2.548930E-01,1.885275E-02,4.903529E+03,4.773769E+02,2.530467E-01,3.683089E-02,8.640672E+03,4.003787E+03,4.458746E-01,3.089403E-01,8.643496E+03,0.000000E+00,4.460203E-01,0.000000E+00,2.168132E+04,2.508108E+03,1.118968E+00,1.935047E-01,3.684236E+03,6.482085E+03,1.901493E-01,5.001000E-01
02:40:00,6.356073E+04,0.000000E+00,3.279471E+00,0.000000E+00,5.081034E+03,7.589541E+02,2.622068E-01,5.855718E-02,1.148337E+04,5.864570E+03,5.924867E-01,4.525809E-01,1.149145E+04,1.194185E+03,5.929033E-01,9.214310E-02,3.227815E+04,9.893340E+03,1.665618E+00,7.633880E-01,6.081259E+03,8.544549E+03,3.138162E-01,6.593360E-01,7.488610E+03,3.777816E+02,3.863995E-01,2.914716E-02,5.414925E+04,1.275843E+03,2.794176E+00,9.843252E-02,3.649582E+03,0.000000E+00,1.883607E-01,0.000000E+00,6.297595E+04,3.059408E+04,3.249284E+00,2.360906E+00,4.939308E+03,2.328348E+02,2.548931E-01,1.796333E-02,4.903532E+03,4.667875E+02,2.530469E-01,3.601387E-02,8.640675E+03,3.974592E+03,4.458748E-01,3.066875E-01,8.643500E+03,0.000000E+00,4.460205E-01,0.000000E+00,2.168133E+04,2.444700E+03,1.118968E+00,1.886124E-01,3.684239E+03,6.474262E+03,1.901494E-01,4.994960E-01
02:50:00,6.356074E+04,0.000000E+00,3.279472E+00,0.000000E+00,5.081039E+03,7.491595E+02,2.622071E-01,5.780147E-02,1.148338E+04,5.826464E+03,5.924872E-01,4.496403E-01,1.149146E+04,1.150083E+03,5.929038E-01,8.873994E-02,3.227818E+04,9.802682E+03,1.665620E+00,7.563927E-01,6.081268E+03,8.531813E+03,3.138166E-01,6.583537E-01,7.488617E+03,3.579951E+02,3.863998E-01,2.762048E-02,5.414927E+04,1.046860E+03,2.794177E+00,8.076583E-02,3.649584E+03,0.000000E+00,1.883608E-01,0.000000E+00,6.297596E+04,3.036489E+04,3.249285E+00,2.343218E+00,4.939311E+03,2.213044E+02,2.548933E-01,1.707373E-02,4.903534E+03,4.562256E+02,2.530470E-01,3.519897E-02,8.640678E+03,3.945901E+03,4.458749E-01,3.044735E-01,8.643503E+03,0.000000E+00,4.460207E-01,0.000000E+00,2.168134E+04,2.381481E+03,1.118969E+00,1.837347E-01,3.684242E+03,6.466316E+03,1.901496E-01,4.988827E-01
03:00:00,6.356076E+04,0.000000E+00,3.279473E+00,0.000000E+00,5.081044E+03,7.395104E+02,2.622073E-01,5.705699E-02,1.148339E+04,5.789129E+03,5.924877E-01,4.467592E-01,1.149147E+04,1.106740E+03,5.929043E-01,8.539532E-02,3.227822E+04,9.714482E+03,1.665622E+00,7.495872E-01,6.081277E+03,8.519534E+03,3.138171E-01,6.574067E-01,7.488624E+03,3.381852E+02,3.864002E-01,2.609201E-02,5.414929E+04,8.237412E+02,2.794178E+00,6.355177E-02,3.649585E+03,0.000000E+00,1.883609E-01,0.000000E+00,6.297598E+04,3.014121E+04,3.249285E+00,2.325956E+00,4.939314E+03,2.098077E+02,2.548934E-01,1.618674E-02,4.903537E+03,4.457213E+02,2.530472E-01,3.438852E-02,8.640681E+03,3.917750E+03,4.458751E-01,3.023012E-01,8.643506E+03,0.000000E+00,4.460208E-01,0.000000E+00,2.168136E+04,2.318611E+03,1.118970E+00,1.788840E-01,3.684245E+03,6.458280E+03,1.901497E-01,4.982625E-01
03:10:00,6.356077E+04,0.000000E+00,3.279473E+00,0.000000E+00,5.081049E+03,7.297352E+02,2.622076E-01,5.630278E-02,1.148340E+04,5.752000E+03,5.924882E-01,4.438941E-01,1.149147E+04,1.063592E+03,5.929048E-01,8.206578E-02,3.227825E+04,9.627741E+03,1.665624E+00,7.428943E-01,6.081285E+03,8.507109E+03,3.138175E-01,6.564485E-01,7.488631E+03,3.178452E+02,3.864006E-01,2.452264E-02,5.414930E+04,6.037467E+02,2.794178E+00,4.657897E-02,3.649587E+03,0.000000E+00,1.883610E-01,0.000000E+00,6.297599E+04,2.991943E+04,3.249286E+00,2.308841E+00,4.939317E+03,1.981099E+02,2.548936E-01,1.528423E-02,4.903540E+03,4.350357E+02,2.530473E-01,3.356408E-02,8.640684E+03,3.889715E+03,4.458752E-01,3.001380E-01,8.643509E+03,0.000000E+00,4.460210E-01,0.000000E+00,2.168137E+04,2.255378E+03,1.118970E+00,1.740053E-01,3.684248E+03,6.450057E+03,1.901499E-01,4.976279E-01
